Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,e0_st7,e0_st8,e0_st9,e0_st10,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,t_reaccion9,t_reaccion10,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,producto9,producto10,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,productivity_specif9,productivity_specif10,Productividad_especifica_global
0,100.23802452420692,0.9949886695108496,0.640156239987557,63.01919906624251,203.41917971665697,0.9,10,0.9906193087696344,1.024152250322174,63.01919906624251,8.991497721247248e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.20462828006376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0829194821465,177.0829194821465,177.0829194821465,177.0829194821465,177.0829194821465,177.0829194821465,177.0829194821465,177.0829194821465,177.0829194821465,177.0829194821465,0.0,3.83257968030345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3257968030345
1,98.02475306352386,0.9184585515194377,0.36270497345087604,70.95626102993923,207.69609420863293,0.9,10,0.9495413996929019,0.9222108951460634,70.95626102993923,1.7125423342330284e-11,2.5006530120273054e-12,3.8217089756877405e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.09959273601838,5.3046204017555265,17.875711549974277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.46621021208,384.93242042416,577.39863063624,577.39863063624,577.39863063624,577.39863063624,577.39863063624,577.39863063624,577.39863063624,577.39863063624,0.0,2.402836314616288,4.507183033267783,5.590618238558178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.31556414702361
2,82.73451511621109,1.2151200096052488,0.6786193531190721,58.35594695616768,165.63069948994413,0.9,10,0.9349861514277781,1.0475389346445871,58.35594695616768,4.492839658632105e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.88793951907371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0510634377923,133.0510634377923,133.0510634377923,133.0510634377923,133.0510634377923,133.0510634377923,133.0510634377923,133.0510634377923,133.0510634377923,133.0510634377923,0.0,2.7783835507225825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78383550722582
3,96.32262037869477,1.1360275407709248,1.6575265333813678,56.07690577462823,186.00348369599126,0.9,10,0.9089330712596198,1.0329992597835755,56.07690577462823,1.8068793061340704e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.909979707211747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.29753626598546,147.29753626598546,147.29753626598546,147.29753626598546,147.29753626598546,147.29753626598546,147.29753626598546,147.29753626598546,147.29753626598546,147.29753626598546,0.0,6.429404920844091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.29404920844088
4,89.50045900967001,1.186325202052248,0.03276112715545981,60.57085629821757,178.9543166193384,0.9,10,1.0194359246662814,0.9336127450317441,60.57085629821757,50.43201490428941,40.29317351036125,30.154332116433086,20.015490722504953,9.876649328576788,4.535649628350194e-16,0.0,0.0,0.0,0.0,0.0,5.591616783763178,6.850928110651976,8.847481441071464,12.509401354832075,21.56010045298599,1148.298906378638,0.0,0.0,0.0,0.0,0.0,175.86436580478488,351.72873160956976,527.5930974143546,703.4574632191395,879.3218290239245,1055.1861948287094,1055.1861948287094,1055.1861948287094,1055.1861948287094,1055.1861948287094,0.0,31.451433924344784,28.268230863884085,24.781232728442074,20.8127033884847,15.883838943635789,0.8766491926322918,0.0,0.0,0.0,0.0,6.574868944742189
5,107.5591602160577,0.7677086064458644,2.4611534206692163,49.20835280429335,194.0715043560977,0.9,10,1.0350474773480434,0.9728040264461782,49.20835280429335,5.695912532925565e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.974141382857603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.8399985950604,185.8399985950604,185.8399985950604,185.8399985950604,185.8399985950604,185.8399985950604,185.8399985950604,185.8399985950604,185.8399985950604,185.8399985950604,0.0,13.298849174592906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.98849174592908
6,86.43536194687036,0.8246204170346649,0.3896346185079848,66.91325383186606,168.14331093099372,0.9,10,0.9653137631329871,0.9620213799637561,66.91325383186606,1.0942180612776739e-13,9.2439305688347e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.38177165057894,6.342462645899962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.846882034885,303.69376406977,303.69376406977,303.69376406977,303.69376406977,303.69376406977,303.69376406977,303.69376406977,303.69376406977,303.69376406977,0.0,1.737740940319776,3.2402906926835184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.78276158049343
7,88.07798598289101,1.1265069254297022,1.2848423724020195,48.396481254004904,164.7464480004986,0.9,10,1.0018177376313453,1.037659919102983,48.396481254004904,2.0496949655699764e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.758289923121772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.15029394717476,143.15029394717476,143.15029394717476,143.15029394717476,143.15029394717476,143.15029394717476,143.15029394717476,143.15029394717476,143.15029394717476,143.15029394717476,0.0,5.55744555925185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5744555925185
8,94.32442246696974,1.0350173666180789,1.136488787820625,76.61067207157377,186.22135341979796,0.9,10,0.9393208560919358,0.967607255768866,76.61067207157377,1.2944642386065586e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.903188267857388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.69973180399617,162.69973180399617,162.69973180399617,162.69973180399617,162.69973180399617,162.69973180399617,162.69973180399617,162.69973180399617,162.69973180399617,162.69973180399617,0.0,5.830865284717855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.30865284717855
9,103.13627880494514,1.1342863411091801,0.7316651111538248,45.62597113354465,167.79159846933888,0.9,10,1.0432490057938024,0.9003912402025692,45.62597113354465,8.78396758200417e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.16340171219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.9723558170975,174.9723558170975,174.9723558170975,174.9723558170975,174.9723558170975,174.9723558170975,174.9723558170975,174.9723558170975,174.9723558170975,174.9723558170975,0.0,4.053720255502055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.53720255502054
