Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,producto0,producto1,producto2,producto3,producto4,producto5,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,Productividad_especifica_global
0,118.53769958959924,0.924776453700292,0.902109440629128,62.09498077961249,201.57218319058546,0.9,5,1.0238106258525606,1.0717470330529104,62.09498077961249,2.4741807844437697e-11,0.0,0.0,0.0,0.0,0.0,31.64936597808575,0.0,0.0,0.0,0.0,0.0,173.3007538122747,173.3007538122747,173.3007538122747,173.3007538122747,173.3007538122747,0.0,5.4756469349897685,0.0,0.0,0.0,0.0,27.378234674948843
1,105.77410142609085,1.0721860858273546,0.6663707512228033,70.49920361135298,161.3629916428074,0.9,5,0.9395167118997898,0.993398217865368,70.49920361135298,3.6984102033726655e-11,0.0,0.0,0.0,0.0,0.0,42.4330364619987,0.0,0.0,0.0,0.0,0.0,137.34965711001402,137.34965711001402,137.34965711001402,137.34965711001402,137.34965711001402,0.0,3.2368566702271893,0.0,0.0,0.0,0.0,16.18428335113595
2,109.69694116585234,1.2830240365977228,0.07874080713102846,59.15322457747493,170.6454189126789,0.9,5,1.0436384479209613,0.9643783414339375,59.15322457747493,34.22621662555498,9.29920867363504,7.712578370673076e-12,5.723937518960984e-17,0.0,0.0,6.948610329601551,16.54875861957068,353.28692816962115,150.0,0.0,0.0,166.2033470044964,332.4066940089928,498.6100410134892,664.8133880179856,664.8133880179856,0.0,23.918933300441225,14.146549544675848,1.3233302046456736,1.2620220299924123,0.0,4.417077104973443
3,93.97938643052831,0.8859375855900334,1.8809660033532754,74.32420481798358,149.52491358659606,0.9,5,1.0250161688751858,1.0224571018691093,74.32420481798358,4.282992036519802e-14,0.0,0.0,0.0,0.0,0.0,18.655295241999777,0.0,0.0,0.0,0.0,0.0,134.90923816380482,134.90923816380482,134.90923816380482,134.90923816380482,134.90923816380482,0.0,7.231686039472354,0.0,0.0,0.0,0.0,36.15843019736177
4,91.84415438017868,0.8833621015598748,0.28145323038277303,41.487708485624566,186.2754283561317,0.9,5,1.090789324424459,0.9313180238696681,41.487708485624566,2.1914338041548626e-12,1.927031149583673e-15,0.0,0.0,0.0,0.0,108.62146525002466,25.0,0.0,0.0,0.0,0.0,196.35454173676203,392.70908347352406,392.70908347352406,392.70908347352406,392.70908347352406,0.0,1.8076955718171686,2.9389670494834785,0.0,0.0,0.0,13.225351722675653
5,108.38121400344494,1.1997530085335488,0.909493141199394,62.28031240564824,169.3734809952749,0.9,5,0.968272173125245,0.9515201533019778,62.28031240564824,3.763387856955633e-11,0.0,0.0,0.0,0.0,0.0,30.934550832812665,0.0,0.0,0.0,0.0,0.0,155.11985232217276,155.11985232217276,155.11985232217276,155.11985232217276,155.11985232217276,0.0,5.014453035394818,0.0,0.0,0.0,0.0,25.07226517697409
6,110.95454209127524,1.2084319299281776,2.292250336010825,47.771647075877496,209.15298667692574,0.9,5,1.0150408993985816,0.9491419779081258,47.771647075877496,2.3746203981363497e-14,0.0,0.0,0.0,0.0,0.0,15.372573170604765,0.0,0.0,0.0,0.0,0.0,201.30702949068865,201.30702949068865,201.30702949068865,201.30702949068865,201.30702949068865,0.0,13.09520711051975,0.0,0.0,0.0,0.0,65.47603555259874
7,100.08242558715392,0.999432630750575,0.7627294326854568,78.51392401256422,185.36016380096672,0.9,5,0.9510258452738064,1.049031907269788,78.51392401256422,1.4311213597136172e-10,0.0,0.0,0.0,0.0,0.0,35.43939364602716,0.0,0.0,0.0,0.0,0.0,151.23856072779364,151.23856072779364,151.23856072779364,151.23856072779364,151.23856072779364,0.0,4.26752675958235,0.0,0.0,0.0,0.0,21.33763379791175
8,81.19419025873104,0.7187202511153128,0.7215350551789678,70.11549924204235,218.13479644212194,0.9,5,0.9254541158272392,1.0025818449800439,70.11549924204235,1.3859565240288828e-12,0.0,0.0,0.0,0.0,0.0,43.73283630308902,0.0,0.0,0.0,0.0,0.0,181.21849259983887,181.21849259983887,181.21849259983887,181.21849259983887,181.21849259983887,0.0,4.143762625957071,0.0,0.0,0.0,0.0,20.718813129785353
9,111.38256649702352,0.9420089802011636,0.23567576838974935,59.800442946600526,167.45511531095636,0.9,5,0.9215148744093146,0.9824188524812169,59.800442946600526,1.6664976352366162e-12,3.510373052121549e-20,0.0,0.0,0.0,0.0,132.4332586140591,75.0,0.0,0.0,0.0,0.0,141.36652737141077,282.73305474282154,282.73305474282154,282.73305474282154,282.73305474282154,0.0,1.0674548738801728,1.363007343334763,0.0,0.0,0.0,6.133533045006433
