Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,producto0,producto1,producto2,producto3,producto4,producto5,producto6,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,Productividad_especifica_global
0,90.23656737717347,0.8636329290567997,0.7865692345591105,56.14509147447313,204.1253005867025,0.9,6,0.9011661737145732,0.9817904310882672,56.14509147447313,1.8602997090845341e-13,0.0,0.0,0.0,0.0,0.0,0.0,42.38763276601749,0.0,0.0,0.0,0.0,0.0,0.0,168.62634757576492,168.62634757576492,168.62634757576492,168.62634757576492,168.62634757576492,168.62634757576492,0.0,3.9781968600745743,0.0,0.0,0.0,0.0,0.0,23.869181160447447
1,109.62936938560642,0.7600293932883269,0.7097701260710785,47.718029367454406,154.1557742362411,0.9,6,0.9406189330109364,1.0425458595714583,47.718029367454406,2.39759157637234e-12,0.0,0.0,0.0,0.0,0.0,0.0,43.14335665607682,0.0,0.0,0.0,0.0,0.0,0.0,125.17593801125854,125.17593801125854,125.17593801125854,125.17593801125854,125.17593801125854,125.17593801125854,0.0,2.9013954340436627,0.0,0.0,0.0,0.0,0.0,17.408372604261974
2,87.69865410675108,0.8471966197133397,1.8725586090356099,61.8923733309889,185.30462794700685,0.9,6,1.0254040183419735,0.9629602283886011,61.8923733309889,2.6498353225988165e-14,0.0,0.0,0.0,0.0,0.0,0.0,18.897721330641744,0.0,0.0,0.0,0.0,0.0,0.0,177.588745683681,177.588745683681,177.588745683681,177.588745683681,177.588745683681,177.588745683681,0.0,9.397362918868394,0.0,0.0,0.0,0.0,0.0,56.38417751321037
3,102.59150104036046,1.2321584590496748,1.3859463343214724,58.14098160478536,151.77272725499864,0.9,6,0.956226342225916,0.9752184259822554,58.14098160478536,1.7168628165373803e-11,0.0,0.0,0.0,0.0,0.0,0.0,20.816684892762396,0.0,0.0,0.0,0.0,0.0,0.0,133.93529938472025,133.93529938472025,133.93529938472025,133.93529938472025,133.93529938472025,133.93529938472025,0.0,6.434035970409835,0.0,0.0,0.0,0.0,0.0,38.604215822459004
4,80.22182170266194,1.2788365164728637,2.2402893034103784,45.846768273686735,187.30305181754542,0.9,6,0.9349332545455893,0.9847790207012019,45.846768273686735,1.869673214639349e-14,0.0,0.0,0.0,0.0,0.0,0.0,15.81748049029381,0.0,0.0,0.0,0.0,0.0,0.0,160.0402357552951,160.0402357552951,160.0402357552951,160.0402357552951,160.0402357552951,160.0402357552951,0.0,10.117934765495788,0.0,0.0,0.0,0.0,0.0,60.707608592974715
5,114.708996274069,1.0098224271831315,2.408279311671828,51.3332608359641,209.06829258614587,0.9,6,1.0905721011455394,0.9918606810852875,51.3332608359641,7.607540016269383e-14,0.0,0.0,0.0,0.0,0.0,0.0,14.178334786585925,0.0,0.0,0.0,0.0,0.0,0.0,206.88756629730767,206.88756629730767,206.88756629730767,206.88756629730767,206.88756629730767,206.88756629730767,0.0,14.591809927710504,0.0,0.0,0.0,0.0,0.0,87.55085956626303
6,96.44243069957656,0.9171088097580716,1.7689161441084005,64.78458947164815,177.24609789092585,0.9,6,0.9476299861766738,1.057070977774858,64.78458947164815,2.471153484539499e-14,0.0,0.0,0.0,0.0,0.0,0.0,20.07024139557017,0.0,0.0,0.0,0.0,0.0,0.0,143.00586123651888,143.00586123651888,143.00586123651888,143.00586123651888,143.00586123651888,143.00586123651888,0.0,7.125268621237541,0.0,0.0,0.0,0.0,0.0,42.75161172742524
7,102.2050917600628,0.7923806593432023,0.5955985695087544,38.93375533425335,190.23927646547796,0.9,6,0.9782185401444132,0.9756248157630728,38.93375533425335,3.9312298694613896e-12,0.0,0.0,0.0,0.0,0.0,0.0,50.24177684062245,0.0,0.0,0.0,0.0,0.0,0.0,171.67052935300055,171.67052935300055,171.67052935300055,171.67052935300055,171.67052935300055,171.67052935300055,0.0,3.4168880988738874,0.0,0.0,0.0,0.0,0.0,20.501328593243322
8,113.17315058795448,0.7979058333264509,2.1486698489567257,49.995738036569385,191.72164223624824,0.9,6,1.0126927574228157,1.0475724321400883,49.995738036569385,3.99093019681254e-16,0.0,0.0,0.0,0.0,0.0,0.0,18.322626407115443,0.0,0.0,0.0,0.0,0.0,0.0,166.8043195099122,166.8043195099122,166.8043195099122,166.8043195099122,166.8043195099122,166.8043195099122,0.0,9.103734137434309,0.0,0.0,0.0,0.0,0.0,54.62240482460585
9,115.68222054180521,1.0336934932430606,0.25698162328430185,53.573036985449384,211.60522835336735,0.9,6,0.9491528887073682,0.9436979603977939,53.573036985449384,1.5401619529726346e-13,2.497030615258116e-16,0.0,0.0,0.0,0.0,0.0,130.29244700858973,25.0,0.0,0.0,0.0,0.0,0.0,191.54554737541997,383.09109475083994,383.09109475083994,383.09109475083994,383.09109475083994,383.09109475083994,0.0,1.470120116500629,2.4669010124468573,0.0,0.0,0.0,0.0,13.567955568457716
