Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,e0_st7,e0_st8,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,Productividad_especifica_global
0,95.99203954441363,1.1161124634762074,2.384079981323268,51.47429904825467,172.27524889901952,0.9,8,1.075983200002641,0.9227803254434898,51.47429904825467,5.851526832774765e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.365114343815392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.78923188168156,180.78923188168156,180.78923188168156,180.78923188168156,180.78923188168156,180.78923188168156,180.78923188168156,180.78923188168156,0.0,11.047233039957607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.37786431966087
1,110.70669347485122,1.180768142985439,1.7110258386382122,74.80752859207458,176.48280267406125,0.9,8,1.0246983499978393,1.055873050758056,74.80752859207458,4.016329330234005e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.858041983879154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.14492577108948,154.14492577108948,154.14492577108948,154.14492577108948,154.14492577108948,154.14492577108948,154.14492577108948,154.14492577108948,0.0,8.63168122856019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.05344982848152
2,92.78277001701284,0.8050599852144149,2.3226899711117888,68.83386998359939,176.767187613484,0.9,8,0.9027115722290292,0.9339105905706384,68.83386998359939,7.510613918550452e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.81530496299436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.77575617427615,153.77575617427615,153.77575617427615,153.77575617427615,153.77575617427615,153.77575617427615,153.77575617427615,153.77575617427615,0.0,9.1449876474255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.159901179404
3,82.47563006204969,0.9817891695118977,0.191119000227969,80.54050853670388,199.4283857727141,0.9,8,0.918757909638597,0.9861501738669523,80.54050853670388,8.633049808325724,1.396076914073397e-13,1.1745220268213588e-15,0.0,0.0,0.0,0.0,0.0,0.0,11.684669907569054,166.1558396127245,25.0,0.0,0.0,0.0,0.0,0.0,0.0,167.21973034288882,334.43946068577765,501.65919102866644,501.65919102866644,501.65919102866644,501.65919102866644,501.65919102866644,501.65919102866644,0.0,14.311035884254446,1.8805583811466444,2.4731706315225805,0.0,0.0,0.0,0.0,0.0,17.312194420658066
4,103.10686268267017,1.04775147238131,1.833524778446961,55.487476267683206,189.5486382194024,0.9,8,1.0834602081124411,1.0425854914631658,55.487476267683206,5.314634826781791e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.860876464612073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.281928268509,177.281928268509,177.281928268509,177.281928268509,177.281928268509,177.281928268509,177.281928268509,177.281928268509,0.0,9.399453339357594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.19562671486077
5,100.65866398571967,0.9716475783169902,2.2599527002537547,79.85214762041855,223.05725908624356,0.9,8,0.9561216778085697,0.9019253767536998,79.85214762041855,1.4856400858209173e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.027115237511264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.81460492362257,212.81460492362257,212.81460492362257,212.81460492362257,212.81460492362257,212.81460492362257,212.81460492362257,212.81460492362257,0.0,13.27840985541382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.22727884331054
6,86.48568280500821,0.9915967887233483,0.5835710363984311,70.2193329879826,177.26299955207125,0.9,8,0.9802519754384942,1.001556213515706,70.2193329879826,1.3749498401379105e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0880639518759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.1431728188378,156.1431728188378,156.1431728188378,156.1431728188378,156.1431728188378,156.1431728188378,156.1431728188378,156.1431728188378,0.0,2.886832350992707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.094658807941656
7,87.78373632295265,1.048248339381853,0.29023427024963894,60.58379433255759,216.25005296293057,0.9,8,1.0914706728736066,0.984940449210429,60.58379433255759,1.1262452179452803e-11,3.963668340777403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.99969983160311,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.6755080015789,431.3510160031578,431.3510160031578,431.3510160031578,431.3510160031578,431.3510160031578,431.3510160031578,431.3510160031578,0.0,2.1354074156772236,2.4508622254235397,0.0,0.0,0.0,0.0,0.0,0.0,18.38146669067655
8,112.01263400149634,0.9453712555520507,0.9186842016842758,79.69112833412052,185.03316316533056,0.9,8,1.0740107597409,1.0990634106383703,79.69112833412052,9.471011888651563e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.39518386645409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.7338746812873,162.7338746812873,162.7338746812873,162.7338746812873,162.7338746812873,162.7338746812873,162.7338746812873,162.7338746812873,0.0,5.023397161508372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.18717729206698
9,87.28901529711842,0.9818414248608741,2.051901687037178,54.71140812365595,175.05435501072975,0.9,8,1.0216007711332356,0.9056197736537726,54.71140812365595,1.3336130036448707e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.520513761231143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.725909200175,177.725909200175,177.725909200175,177.725909200175,177.725909200175,177.725909200175,177.725909200175,177.725909200175,0.0,10.143875437799174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.1510035023934
10,113.62814417067102,1.0957898452552957,1.2738160745025515,42.045461838806034,187.34753318662868,0.9,8,1.0927356601944829,0.9784335131816966,42.045461838806034,3.0165427267689975e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.18271892894303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.31039088910816,188.31039088910816,188.31039088910816,188.31039088910816,188.31039088910816,188.31039088910816,188.31039088910816,188.31039088910816,0.0,6.45280487221307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.62243897770457
11,85.66252945595116,1.210407328560506,1.6802638978583644,63.349798030756844,195.04442407578915,0.9,8,0.9529906148179396,0.9593870348970961,63.349798030756844,1.8890197406195366e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.534966343959674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.3696224465456,174.3696224465456,174.3696224465456,174.3696224465456,174.3696224465456,174.3696224465456,174.3696224465456,174.3696224465456,0.0,9.407603942230551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.26083153784442
12,98.79710524470818,0.7758475320079516,1.4020532077648686,76.56478087478689,187.23537531610643,0.9,8,1.0009424385132295,1.0011795019348075,76.56478087478689,4.438900203535693e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6655407478936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.4719368548779,168.4719368548779,168.4719368548779,168.4719368548779,168.4719368548779,168.4719368548779,168.4719368548779,168.4719368548779,0.0,6.317964388859657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.54371511087726
13,100.32960341818227,1.051810359884987,0.6565255224704081,82.88130219992203,198.90726102797817,0.9,8,0.9188275796698157,1.0283338323937832,82.88130219992203,6.868894391330607e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.38728416336441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.95324117975105,159.95324117975105,159.95324117975105,159.95324117975105,159.95324117975105,159.95324117975105,159.95324117975105,159.95324117975105,0.0,3.2387535352349803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.910028281879846
