Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,e0_st7,e0_st8,e0_st9,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,t_reaccion9,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,producto9,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,productivity_specif9,Productividad_especifica_global
0,106.64229218077818,0.8437612088652645,1.2046430210276895,59.24054496789267,206.7811777477212,0.9,9,0.9488450609433815,0.989847211848532,59.24054496789267,9.115445533669129e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.22506390849223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.3941674715791,178.3941674715791,178.3941674715791,178.3941674715791,178.3941674715791,178.3941674715791,178.3941674715791,178.3941674715791,178.3941674715791,0.0,5.902193226511469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.119739038603214
1,97.15033323425698,1.1320689174517964,0.2763131153555932,56.5185774737788,174.609078636051,0.9,9,0.9623606247091363,1.0350224905780374,56.5185774737788,2.91550952747686e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.7275463962508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.11587011216406,146.11587011216406,146.11587011216406,146.11587011216406,146.11587011216406,146.11587011216406,146.11587011216406,146.11587011216406,146.11587011216406,0.0,1.0765380646135383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.688842581521843
2,95.71976690759445,0.702730562268611,1.9267038455946692,54.96362504875199,175.8627750565457,0.9,9,1.0018151883086577,1.0309455399932055,54.96362504875199,2.1517387873748006e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.60818827002194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.80424382050853,153.80424382050853,153.80424382050853,153.80424382050853,153.80424382050853,153.80424382050853,153.80424382050853,153.80424382050853,153.80424382050853,0.0,7.843878368694204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.59490531824783
3,105.80302089822904,1.1830390105047406,0.6487813605714916,66.5954660082162,200.008877421735,0.9,9,1.067581595577399,0.9643632781420737,66.5954660082162,2.1104045663048252e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.360387955910504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.2747144095159,199.2747144095159,199.2747144095159,199.2747144095159,199.2747144095159,199.2747144095159,199.2747144095159,199.2747144095159,199.2747144095159,0.0,4.492176998261911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.42959298435719
4,103.11386198175664,1.2236351325779569,0.6967727018152264,73.50192233188139,188.65723428146185,0.9,9,0.959611926514546,1.0780401092363794,73.50192233188139,3.0213164393532464e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.54093413705727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.13905080134597,151.13905080134597,151.13905080134597,151.13905080134597,151.13905080134597,151.13905080134597,151.13905080134597,151.13905080134597,151.13905080134597,0.0,3.179135066332992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.61221559699693
5,100.48887576783008,0.7501597434559116,2.069530147764397,75.0969564133319,159.60474336352715,0.9,9,1.0940033428616072,1.095044126273837,75.0969564133319,8.265212732421399e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.642867416095005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.5077424992672,143.5077424992672,143.5077424992672,143.5077424992672,143.5077424992672,143.5077424992672,143.5077424992672,143.5077424992672,143.5077424992672,0.0,8.622777488480354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.60499739632318
6,82.23472569074232,0.7760687113330056,0.2511421910701272,59.9717663707808,190.76768596069536,0.9,9,1.035568031734814,1.0190614803507707,59.9717663707808,4.2779015748401346e-11,2.8249170936991285e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.36658158325801,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.47193205735783,348.94386411471567,348.94386411471567,348.94386411471567,348.94386411471567,348.94386411471567,348.94386411471567,348.94386411471567,348.94386411471567,0.0,1.5666453039767774,1.872352119947145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.914993019550733
7,96.29942536278534,0.9091856149615777,0.7942433790789466,60.87952735337608,192.65674240756366,0.9,9,1.0523969716462598,0.910678553965925,60.87952735337608,4.225381867503752e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.047107697779694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.37392365790348,200.37392365790348,200.37392365790348,200.37392365790348,200.37392365790348,200.37392365790348,200.37392365790348,200.37392365790348,200.37392365790348,0.0,4.881560112181596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.93404100963437
8,100.97553032835405,1.0909534176015607,0.3709387779020107,41.55169333283891,161.20097754894618,0.9,9,1.0299326590341153,1.0532247318989905,41.55169333283891,3.381140891717312e-13,7.343351045835262e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.46006948239508,10.324043546811813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.87241504657987,283.74483009315975,283.74483009315975,283.74483009315975,283.74483009315975,283.74483009315975,283.74483009315975,283.74483009315975,283.74483009315975,0.0,1.622139290377965,2.901747751277436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.664855885858206
9,108.61844589121868,0.7754828029974605,1.7439611412836642,47.31977378034095,202.7460553583985,0.9,9,1.0020630739746805,1.0552386409632757,47.31977378034095,1.1234881503516862e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.629290666645797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.27635174058534,173.27635174058534,173.27635174058534,173.27635174058534,173.27635174058534,173.27635174058534,173.27635174058534,173.27635174058534,173.27635174058534,0.0,8.39953028635856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.59577257722704
10,86.24576627068441,0.8497753677884327,2.023664576074297,62.3674234186332,206.5208746049417,0.9,9,1.088351606488407,1.0821138144326508,62.3674234186332,7.184759660827864e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.135346063979124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.94021865969026,186.94021865969026,186.94021865969026,186.94021865969026,186.94021865969026,186.94021865969026,186.94021865969026,186.94021865969026,186.94021865969026,0.0,10.308059079776568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.77253171798912
11,80.73322314858414,0.7522176894522938,2.1348356423670674,78.25952289356024,171.87215300757424,0.9,9,0.9338192917424286,1.0136359644452635,78.25952289356024,2.965460224243709e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6332193814728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.50459143056736,142.50459143056736,142.50459143056736,142.50459143056736,142.50459143056736,142.50459143056736,142.50459143056736,142.50459143056736,142.50459143056736,0.0,8.567469000577157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.10722100519443
12,97.0838403496188,0.9848069401059532,1.155316492529729,69.06890631930355,217.47101644044366,0.9,9,0.9692483401002983,1.0178386125607852,69.06890631930355,1.3039505613939242e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.352441879873552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.38031333578735,186.38031333578735,186.38031333578735,186.38031333578735,186.38031333578735,186.38031333578735,186.38031333578735,186.38031333578735,186.38031333578735,0.0,6.814028310683645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3262547961528
13,71.19008043400528,0.7269252223572119,0.935160260627819,50.415535090766596,165.67785376616027,0.9,9,0.9858486354108359,1.0271853240958981,50.415535090766596,2.9992405457244807e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.56443056487406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.10947985674756,143.10947985674756,143.10947985674756,143.10947985674756,143.10947985674756,143.10947985674756,143.10947985674756,143.10947985674756,143.10947985674756,0.0,4.394656297509897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.55190667758908
14,96.0064255149816,0.812700819192342,0.6571021689464746,69.48603787631347,180.2745468224041,0.9,9,0.9393006773697359,0.9390758937354594,69.48603787631347,5.057111095278708e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.029214313980304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.28592871478492,162.28592871478492,162.28592871478492,162.28592871478492,162.28592871478492,162.28592871478492,162.28592871478492,162.28592871478492,162.28592871478492,0.0,4.158062916902069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.422566252118614
15,101.78530654720545,1.0306755247296704,0.6437999817021627,61.87654040512679,210.56320572571937,0.9,9,1.0503574360950565,1.030861965207737,61.87654040512679,1.2765636837607434e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2172038000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.09080432675404,193.09080432675404,193.09080432675404,193.09080432675404,193.09080432675404,193.09080432675404,193.09080432675404,193.09080432675404,193.09080432675404,0.0,5.0524576663747744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.47211899737298
16,107.58084109422116,1.1625640900447423,1.0826798441637782,53.27658152857804,177.58965194885755,0.9,9,1.0169558903166078,1.0685704916847574,53.27658152857804,5.8996549898645825e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.553504637130988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.11046871744605,152.11046871744605,152.11046871744605,152.11046871744605,152.11046871744605,152.11046871744605,152.11046871744605,152.11046871744605,152.11046871744605,0.0,5.5205488637718565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.68493977394672
17,86.86178306716747,1.2340120840069018,0.3268719569674214,70.51489067656746,176.86483864326823,0.9,9,0.9296524702465424,0.9424747442009165,70.51489067656746,2.986596499712303e-12,1.4261826922436517e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.20419805893783,30.4384428690735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.01274929705377,314.02549859410755,314.02549859410755,314.02549859410755,314.02549859410755,314.02549859410755,314.02549859410755,314.02549859410755,314.02549859410755,0.0,1.6667277311656583,2.5194066513359283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.41495653635539
18,92.9894152476757,0.8310469034805869,2.3709585440650685,54.42060793529693,180.39746019518006,0.9,9,0.9338295403469425,1.0789878209138435,54.42060793529693,4.6164041693134345e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.607992517749265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.51542256707742,140.51542256707742,140.51542256707742,140.51542256707742,140.51542256707742,140.51542256707742,140.51542256707742,140.51542256707742,140.51542256707742,0.0,9.002786386992726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.02507748293453
19,87.04906055894969,1.168796774059535,0.44674407043519043,59.73526922717652,156.94230585598058,0.9,9,0.9354907637972806,1.0079189037894067,59.73526922717652,8.617978229091354e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.49181191355474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.09811644845814,131.09811644845814,131.09811644845814,131.09811644845814,131.09811644845814,131.09811644845814,131.09811644845814,131.09811644845814,131.09811644845814,0.0,1.713884312174685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.42495880957216
20,98.8958777612079,1.0705092452005778,2.4044320542073576,60.71681245625698,208.3835875919457,0.9,9,1.0761249771727495,0.9040691356664723,60.71681245625698,1.2727129773287734e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.972107067440339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.23746839086684,223.23746839086684,223.23746839086684,223.23746839086684,223.23746839086684,223.23746839086684,223.23746839086684,223.23746839086684,223.23746839086684,0.0,13.976707484383429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.79036735945084
21,100.81384606240749,0.7648130132242374,1.893899548580951,67.9106254388657,202.15402443396246,0.9,9,0.9576201013851511,1.0916929232173411,67.9106254388657,2.7463701689979495e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.930670996173124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.59440418740746,159.59440418740746,159.59440418740746,159.59440418740746,159.59440418740746,159.59440418740746,159.59440418740746,159.59440418740746,159.59440418740746,0.0,8.007477732086947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.06729958878253
22,102.80373072598236,0.8167494807282837,1.7593026811598365,71.25294164661243,183.86409537805434,0.9,9,1.0437657602476837,1.0601619994099611,71.25294164661243,2.246768270745898e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.596920215471627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.91844327678504,162.91844327678504,162.91844327678504,162.91844327678504,162.91844327678504,162.91844327678504,162.91844327678504,162.91844327678504,162.91844327678504,0.0,7.543596107748425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.89236496973582
23,95.03345901158191,1.1624627485844206,0.12874960871971816,60.43983822494796,209.73664972119258,0.9,9,1.0042567918211935,1.0255618459569942,60.43983822494796,15.297326798402526,5.34261341897623e-13,3.4206639017470205e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.671646930556062,240.66534782948938,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.8416165500043,369.6832331000086,554.5248496500128,554.5248496500128,554.5248496500128,554.5248496500128,554.5248496500128,554.5248496500128,554.5248496500128,0.0,17.320814467797696,1.4708667677551799,1.6992399223929646,0.0,0.0,0.0,0.0,0.0,0.0,13.593919379143713
24,97.81278421100725,0.8820195137729367,2.399485380149495,72.20704405344539,187.32336827257237,0.9,9,1.0466407816079486,0.9494618045984436,72.20704405344539,5.614863371627904e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.458688371611935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.8466007472968,185.8466007472968,185.8466007472968,185.8466007472968,185.8466007472968,185.8466007472968,185.8466007472968,185.8466007472968,185.8466007472968,0.0,12.02214549383001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.19930944447012
25,100.83806569011767,0.7163422896077241,0.19443642643919162,81.92439107162994,173.32203662350094,0.9,9,1.0521039717617413,0.9920051341542934,81.92439107162994,2.4489378720309465e-12,1.1370452184743744e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.16115930073428,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.4401949772077,330.8803899544154,330.8803899544154,330.8803899544154,330.8803899544154,330.8803899544154,330.8803899544154,330.8803899544154,330.8803899544154,0.0,1.032960773383021,1.4070367357360714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.959812253756606
26,81.54474191690214,0.8598848991559624,2.2873285511914343,54.94047015072567,203.1542034679494,0.9,9,0.9582967861070397,1.0043285693624282,54.94047015072567,1.4271589741401386e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.689375181651155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.4586618221508,174.4586618221508,174.4586618221508,174.4586618221508,174.4586618221508,174.4586618221508,174.4586618221508,174.4586618221508,174.4586618221508,0.0,11.119541715477716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07587543929945
27,120.92390329273556,0.8051992732894975,0.21016985937514415,57.99051710906267,179.295519364498,0.9,9,0.9657377837568848,0.9507018305512689,57.99051710906267,1.574985672657593e-11,2.2470143361982915e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.6718309300306,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.91807268045966,327.8361453609193,327.8361453609193,327.8361453609193,327.8361453609193,327.8361453609193,327.8361453609193,327.8361453609193,327.8361453609193,0.0,1.190643514894258,1.5415118397545464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.102850637913644
28,110.37478357831584,1.1849852763215676,1.3818056285421325,75.46947568478902,169.77665375244473,0.9,9,0.9264166976876769,0.9007313084464724,75.46947568478902,3.477459978384733e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.889779915481455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.1562272733365,157.1562272733365,157.1562272733365,157.1562272733365,157.1562272733365,157.1562272733365,157.1562272733365,157.1562272733365,157.1562272733365,0.0,6.578387403707034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.20548663336331
29,86.78618204749561,1.250201478562849,1.8421992414052237,72.49759349653658,207.29424219533502,0.9,9,1.043236498090267,0.910696698729132,72.49759349653658,1.6491973436337187e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.05259945117279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.7168473801752,213.7168473801752,213.7168473801752,213.7168473801752,213.7168473801752,213.7168473801752,213.7168473801752,213.7168473801752,213.7168473801752,0.0,12.532801699360673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.79521529424608
30,97.81390143264035,1.1843893515515007,1.5952912289795982,44.481691121280555,195.90365790586486,0.9,9,1.0813497771279168,1.0704473938946184,44.481691121280555,2.929110321037824e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.91234403080495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.10902265816063,178.10902265816063,178.10902265816063,178.10902265816063,178.10902265816063,178.10902265816063,178.10902265816063,178.10902265816063,178.10902265816063,0.0,8.128250560860595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.15425504774537
31,101.85648366018603,0.7462321298382457,2.49518542978651,50.158124703252426,143.6388396297402,0.9,9,1.0861486997366583,1.0494200315731068,50.158124703252426,8.437603748701762e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.402159234098274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.79945187008812,133.79945187008812,133.79945187008812,133.79945187008812,133.79945187008812,133.79945187008812,133.79945187008812,133.79945187008812,133.79945187008812,0.0,8.157429150665351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.41686235598816
32,106.3515715818908,0.7587763911727381,0.27911765612868145,64.24885262877282,199.7749204133607,0.9,9,0.9609803184714566,0.9656698739815462,64.24885262877282,3.6209213893647007e-13,3.3754964056520094e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5477109144054,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.92428316615266,357.8485663323053,357.8485663323053,357.8485663323053,357.8485663323053,357.8485663323053,357.8485663323053,357.8485663323053,357.8485663323053,0.0,1.5221417905486887,2.5103775012366216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.338208760511286
33,84.96730527342764,1.1126159013758326,1.3247815093557906,62.19915979720539,179.21896109497754,0.9,9,1.0861634517876164,1.066274050896102,62.19915979720539,9.038759288466406e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.78916646562106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.30576803459255,164.30576803459255,164.30576803459255,164.30576803459255,164.30576803459255,164.30576803459255,164.30576803459255,164.30576803459255,164.30576803459255,0.0,6.371115881299411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3400429316947
34,84.83732614555636,0.7439425827516745,2.40018196334217,56.32317360195539,209.32126607565382,0.9,9,0.9119892517083811,1.0493882109126749,56.32317360195539,1.7299713828881e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.881868558506275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.72288972453964,163.72288972453964,163.72288972453964,163.72288972453964,163.72288972453964,163.72288972453964,163.72288972453964,163.72288972453964,163.72288972453964,0.0,11.001500858637664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.01350772773897
35,96.46449033363682,0.9022700336982732,0.47003057471883053,59.66540777515746,162.88945848997867,0.9,9,1.0788131020361509,0.9748360123687058,59.66540777515746,6.229843330034742e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4913049785618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.23708582330121,162.23708582330121,162.23708582330121,162.23708582330121,162.23708582330121,162.23708582330121,162.23708582330121,162.23708582330121,162.23708582330121,0.0,2.368725283801826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.318527554216434
36,101.9749750099431,0.8446566286992228,2.27540742273691,52.968310959878174,170.032238984442,0.9,9,0.9512771752107073,0.9027782030504474,52.968310959878174,5.4070149431651745e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.170113102052065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.25002653409217,161.25002653409217,161.25002653409217,161.25002653409217,161.25002653409217,161.25002653409217,161.25002653409217,161.25002653409217,161.25002653409217,0.0,10.629454470730336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.66509023657304
37,113.68734851707579,1.1888272002873561,0.15601173251382916,75.16563507551194,175.41054371916005,0.9,9,1.0029408259140786,1.031241448598582,75.16563507551194,20.09503132244956,7.761315605744383e-12,6.431433051935548e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.455912502568717,183.20636137647762,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.53703659577332,307.07407319154663,460.61110978731995,460.61110978731995,460.61110978731995,460.61110978731995,460.61110978731995,460.61110978731995,460.61110978731995,0.0,18.15735871783586,1.6021623190452914,1.727320115766528,0.0,0.0,0.0,0.0,0.0,0.0,13.818560926132225
38,100.54265686046402,1.0618120054488496,0.4231299079603386,65.53366590981668,213.69068889451398,0.9,9,1.0975488236531084,1.0009526816022054,65.53366590981668,8.754325221643345e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.94253505189924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.88146490775284,210.88146490775284,210.88146490775284,210.88146490775284,210.88146490775284,210.88146490775284,210.88146490775284,210.88146490775284,210.88146490775284,0.0,2.6053232058093876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.44790885228449
