Model,K,k,kd,e0,Si,Xopt,nlotes,beta,kr,V,Mbiocat,e0_activity0,e0_activity1,e0_activity2,e0_activity3,e0_activity4,e0_activity5,e0_activity6,e0_activity7,e0_activity8,e0_activity9,Gamma0,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,et_activity0,et_activity1,et_activity2,et_activity3,et_activity4,et_activity5,et_activity6,et_activity7,et_activity8,et_activity9,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,t_reaccion9,t_reactivacion0,t_reactivacion1,t_reactivacion2,t_reactivacion3,t_reactivacion4,t_reactivacion5,t_reactivacion6,t_reactivacion7,t_reactivacion8,t_reactivacion9,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,producto9,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,productivity_specif9,Productividad_especifica_global
0,10.0,1.0,0.4401842229443636,18.0,200.0,0.9,9,0.9484018137787261,0.16512445099132417,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9958100134606335e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.19245802422914e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8554818764004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235
1,10.0,1.0,0.7993156693381125,18.0,200.0,0.9,9,0.8721115960622691,0.36119170545806967,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.075244228702989e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.73543961166538e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.297053397652434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.255615593543695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.255615593543695
2,10.0,1.0,1.018166950733496,18.0,200.0,0.9,9,0.9149536566212491,0.3334133750529709,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5947147443985007e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.670486539917301e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.247544498043695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106738712252433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106738712252433
3,10.0,1.0,0.31899205410260173,18.0,200.0,0.9,9,0.9039150111500776,0.21649874894109314,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1532430197565661e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.075837435561819e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.95449967561788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2797940679698363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2797940679698363
4,10.0,1.0,0.6127989912815794,18.0,200.0,0.9,9,0.9248812281719314,0.23183661744665926,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.795332005410114e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.7631597609738206e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.39607119686992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1917116951577706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1917116951577706
5,10.0,1.0,0.034300802638855446,18.0,200.0,0.9,9,0.9300363161533534,0.3346080677003041,1.0,1.0,18.0,18.0,15.066588321684323,13.446588321684324,11.826588321684325,10.206588321684325,0.0,0.0,0.0,0.0,1.0,0.6131139087036903,0.45014659324170825,0.36014659324170833,0.27014659324171064,0.18014659324170845,0.0,0.0,0.0,0.0,18.0,11.036050356666426,8.102638678350749,6.48263867835075,4.862638678350792,3.242638678350752,0.0,0.0,0.0,0.0,0.0,14.262189248361254,18.083828341005486,21.27057475139819,25.911026781703974,33.42913087159316,0.0,0.0,0.0,0.0,0.0,0.0,4.903999484627756,5.18102771921956,5.500397980613062,5.874963316421176,0.0,0.0,0.0,0.0,0.0,180.0,180.0,180.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,12.62078330791202,7.830230910259637,6.804880732649098,5.730399094024491,4.579675571174732,0.0,0.0,0.0,0.0,6.695574761352739
6,10.0,1.0,1.0214187838224942,18.0,200.0,0.9,9,0.8866338002462996,0.33642996398450076,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.313721932249758e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.164699478049564e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.247544498043695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106738712252433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106738712252433
7,10.0,1.0,1.251652634102701,18.0,200.0,0.9,9,0.9381622625368968,0.12282142778762933,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.698371477865388e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.457068660157698e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.198035598434963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554
8,10.0,1.0,0.7074045532229845,18.0,200.0,0.9,9,0.9481088223656021,0.2367209891070841,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.14954239138218e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.1069176304487923e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.00200428761331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601
9,10.0,1.0,0.49625852688836636,18.0,200.0,0.9,9,0.8723308023328697,0.22775407239306278,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0524338195384535e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.8943808751692161e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8554818764004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235
