Model,K,k,kd,e0,Si,Xopt,nlotes,V,Mbiocat,efinish0,efinish1,efinish2,efinish3,efinish4,efinish5,efinish6,efinish7,efinish8,efinish9,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,t_reaccion9,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,producto9,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,productivity_specif9,Productividad_especifica_global
0,10.0,1.0,0.4401842229443636,18.0,200.0,0.9,9,1.0,1.0,18.0,7.19245802422914e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8554818764004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235
1,10.0,1.0,0.7993156693381125,18.0,200.0,0.9,9,1.0,1.0,18.0,3.73543961166538e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.297053397652434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.255615593543695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.255615593543695
2,10.0,1.0,1.018166950733496,18.0,200.0,0.9,9,1.0,1.0,18.0,4.670486539917301e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.247544498043695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106738712252433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106738712252433
3,10.0,1.0,0.31899205410260173,18.0,200.0,0.9,9,1.0,1.0,18.0,2.075837435561819e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.95449967561788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2797940679698363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2797940679698363
4,10.0,1.0,0.6127989912815794,18.0,200.0,0.9,9,1.0,1.0,18.0,1.7631597609738206e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.39607119686992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1917116951577706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1917116951577706
5,10.0,1.0,0.034300802638855446,18.0,200.0,0.9,9,1.0,1.0,18.0,11.036050356666426,4.07210071333285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.262189248361254,29.066614496117044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.62078330791202,6.192671665427216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.30856079302391
6,10.0,1.0,1.0214187838224942,18.0,200.0,0.9,9,1.0,1.0,18.0,4.164699478049564e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.247544498043695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106738712252433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106738712252433
7,10.0,1.0,1.251652634102701,18.0,200.0,0.9,9,1.0,1.0,18.0,8.457068660157698e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.198035598434963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554
8,10.0,1.0,0.7074045532229845,18.0,200.0,0.9,9,1.0,1.0,18.0,1.1069176304487923e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.00200428761331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601
9,10.0,1.0,0.49625852688836636,18.0,200.0,0.9,9,1.0,1.0,18.0,1.8943808751692161e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8554818764004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235
